date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2010-03-13 17:00:00+00:00,61.0,29.796,24.246,26.521002,36.52598,29.172295,32.016262,0,0,43736.78,40518.547,7.8999996,7.8999996,0.0,10.0,14.386494,30.239998,80.057205,21.79,4.256834
2010-03-14 17:00:00+00:00,61.0,28.896,24.096,26.220999,35.243317,29.499435,31.873087,0,0,43716.06,39255.363,9.6,9.6,0.0,16.0,11.503113,25.56,359.5185,19.36,3.8121321
2010-03-15 17:00:00+00:00,63.0,27.146,24.046,25.316832,31.844234,29.055767,30.561922,0,0,43695.324,8661.661,21.399996,21.399996,0.0,24.0,10.446206,21.96,267.27365,9.18,1.9112006
2010-03-16 17:00:00+00:00,61.0,27.996,23.596,25.327246,32.965126,28.16861,30.344408,0,0,43674.598,9727.048,18.8,18.8,0.0,22.0,13.004922,25.919998,275.1787,10.61,2.1454256
2010-03-17 17:00:00+00:00,53.0,28.796,23.796,25.875168,33.49093,28.692509,30.848665,0,0,43653.9,22084.762,3.1000001,3.1000001,0.0,9.0,9.1641035,21.599998,268.10492,12.87,2.6866348
2010-03-18 17:00:00+00:00,63.0,29.996,23.746,26.325167,36.37369,28.840237,31.996126,0,0,43633.223,38113.133,11.1,11.1,0.0,13.0,9.346143,25.199999,256.3802,20.43,4.0813847
2010-03-19 17:00:00+00:00,63.0,28.996,24.346,26.110586,34.82799,29.507729,31.522333,0,0,43612.598,27468.965,22.200003,22.200003,0.0,24.0,7.4128532,18.72,237.52881,14.05,2.9061587
2010-03-20 17:00:00+00:00,63.0,29.296,23.996,26.100164,35.292908,29.001759,31.31106,0,0,43592.035,36207.332,14.299999,14.299999,0.0,17.0,9.885262,21.24,250.4479,17.64,3.5196004
2010-03-21 17:00:00+00:00,61.0,30.296,24.446,26.821,36.929806,28.948902,31.611685,0,0,43571.555,34462.758,2.5,2.5,0.0,3.0,16.862455,33.839996,246.95952,19.97,4.0695868
2010-03-22 17:00:00+00:00,63.0,29.746,24.046,26.60642,36.41995,28.699905,32.258392,0,0,43551.156,34078.125,6.0000005,6.0000005,0.0,9.0,8.647496,19.8,219.62903,18.09,3.6682975
2010-03-23 17:00:00+00:00,63.0,30.646,24.096,26.645996,38.292336,29.105637,32.372242,0,0,43530.863,37469.96,11.700001,11.700001,0.0,12.0,8.669949,21.24,207.02153,21.46,4.3581643
2010-03-24 17:00:00+00:00,61.0,29.596,24.346,26.40433,36.989456,29.510696,32.078762,0,0,43510.688,39436.656,10.099999,10.099999,0.0,13.0,9.779817,22.319998,42.580482,20.44,4.037881
2010-03-25 17:00:00+00:00,61.0,29.046,24.346,26.31058,35.621975,29.460377,31.848907,0,0,43490.65,26152.896,9.7,9.7,0.0,15.0,8.654986,23.759998,276.84262,14.86,3.0505297
2010-03-26 17:00:00+00:00,61.0,29.946,24.346,26.44808,36.304775,29.61496,31.93123,0,0,43470.746,26997.24,9.500001,9.500001,0.0,11.0,8.707238,28.08,254.50693,16.41,3.4151187
2010-03-27 17:00:00+00:00,61.0,28.046,24.596,25.95225,33.35005,29.346111,31.270844,0,0,43450.86,10899.052,13.699999,13.699999,0.0,13.0,13.783817,29.16,274.0977,12.03,2.4184399
2010-03-28 17:00:00+00:00,63.0,28.396,23.946,25.781416,33.859535,29.079517,30.908403,0,0,43430.94,28428.523,23.8,23.8,0.0,17.0,11.983188,23.759998,267.2889,12.96,2.597901
2010-03-29 17:00:00+00:00,55.0,27.346,24.246,25.604334,31.505558,28.508251,30.074234,0,0,43411.008,0.0,9.500001,9.500001,0.0,17.0,11.090103,20.519999,231.11546,6.17,1.5071385
2010-03-30 17:00:00+00:00,55.0,28.946,23.296,26.041838,34.668957,28.14244,31.28433,0,0,43391.062,34455.42,5.7,5.7,0.0,16.0,7.2,21.96,251.08215,14.35,2.9362736
2010-03-31 17:00:00+00:00,53.0,30.996,23.596,26.895998,37.95936,28.407562,32.666386,0,0,43371.12,35471.55,0.9,0.9,0.0,3.0,10.233123,24.119999,281.16483,21.94,4.4684978
2010-04-01 17:00:00+00:00,63.0,31.096,23.846,26.848082,38.522747,28.898201,32.473953,0,0,43351.207,38681.02,10.9,10.9,0.0,7.0,13.339445,28.08,224.17772,22.38,4.575681
2010-04-02 17:00:00+00:00,53.0,29.946,24.646,26.843916,34.33646,29.119339,31.276377,0,0,43331.316,27116.535,0.5,0.5,0.0,1.0,11.808878,28.8,238.41412,14.05,3.1219466
2010-04-03 17:00:00+00:00,61.0,31.496,24.346,27.568916,38.608955,28.997402,32.847904,0,0,43311.477,39297.86,1.8000001,1.8000001,0.0,3.0,11.113451,29.88,229.93657,22.17,4.5876145
2010-04-04 17:00:00+00:00,53.0,31.196,23.846,27.258493,38.487686,28.851551,33.276646,0,0,43291.69,39669.617,1.3,1.3,0.0,5.0,8.905908,23.039999,223.36346,21.72,4.406599
2010-04-05 17:00:00+00:00,61.0,30.496,24.096,27.058496,38.791336,28.980595,32.99373,0,0,43271.977,40753.297,8.3,8.3,0.0,8.0,6.519877,21.24,135.57864,22.51,4.5446825
2010-04-06 17:00:00+00:00,63.0,31.046,24.646,27.000166,39.4282,29.73476,33.032413,0,0,43252.35,28800.0,11.1,11.1,0.0,10.0,5.95906,23.759998,216.75073,19.12,3.9850922
