datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1980-03-08 17:00:00+00:00,53.0,30.996,23.596,26.764748,38.387177,27.363035,31.763018,0,0,43834.348,41406.17,1.3,1.3,0.0,2.0,10.703569,28.08,237.24908,24.02,4.8696556
1980-03-09 17:00:00+00:00,63.0,29.596,23.896,26.173082,35.033974,27.977139,30.420687,0,0,43813.69,39532.867,9.0,9.0,0.0,6.0,17.81909,34.56,250.52234,19.51,3.9203753
1980-03-10 17:00:00+00:00,55.0,28.996,24.296,26.01058,33.699158,27.762539,29.827822,0,0,43792.992,28800.0,3.3,3.3,0.0,6.0,17.673029,39.96,253.18483,18.75,3.8055563
1980-03-11 17:00:00+00:00,53.0,28.996,23.696,26.29183,34.50008,27.442226,30.386866,0,0,43772.254,40266.773,2.0,2.0,0.0,6.0,16.75064,33.12,263.16635,20.23,4.0245504
1980-03-12 17:00:00+00:00,51.0,29.496,23.646,26.302252,34.164814,27.251884,30.034594,0,0,43751.5,37302.71,0.4,0.4,0.0,1.0,18.0036,33.48,258.77872,21.42,4.4125786
1980-03-13 17:00:00+00:00,53.0,29.546,23.346,25.895994,35.52183,27.503933,30.581625,0,0,43730.742,41247.64,2.1000001,2.1000001,0.0,6.0,10.97262,26.64,262.8955,20.26,4.0336514
1980-03-14 17:00:00+00:00,55.0,30.046,23.046,26.137665,37.332016,27.334322,31.394394,0,0,43709.996,39188.2,2.4,2.4,0.0,4.0,9.1641035,24.119999,248.76521,23.19,4.6090045
1980-03-15 17:00:00+00:00,63.0,29.846,22.796,25.696,37.218708,27.38633,31.115538,0,0,43689.277,40346.71,11.900001,11.900001,0.0,9.0,6.638072,20.519999,168.19014,22.65,4.4960203
1980-03-16 17:00:00+00:00,63.0,28.996,22.746,25.181412,34.880795,27.21055,29.810265,0,0,43668.598,36323.98,14.199999,14.199999,0.0,15.0,10.703569,25.56,257.18396,19.76,3.8984926
1980-03-17 17:00:00+00:00,63.0,27.896,23.246,24.906416,32.288525,26.923449,28.613014,0,0,43647.97,28205.799,9.700001,9.700001,0.0,8.0,16.09969,31.68,246.87012,15.37,3.0308638
